"PortName","Kg","Eu"
"ARENYS DE MAR","918597.145","5231004.408"
"BADALONA","9281.970","122906.146"
"BARCELONA","1543858.810","6253611.035"
"BLANES","1644831.690","8354817.900"
"CAMBRILS","921252.320","3504073.713"
"DELTEBRE","367689.958","2494275.569"
"L'AMETLLA DE MAR","1009710.110","6128714.698"
"L'AMPOLLA","196803.950","1274016.325"
"LA RÀPITA","2167787.230","12290286.453"
"L'ESCALA","997002.530","1714193.582"
"LES CASES D'ALCANAR","176790.200","1025934.559"
"L'ESTARTIT","2872.390","52729.030"
"LLANÇÀ","463844.610","4616642.457"
"PALAMÓS","1214563.649","9499539.679"
"PORT DE LA SELVA","11035.480","105409.980"
"ROSES","733226.700","6668381.085"
"SANT FELIU DE GUÍXOLS","681661.362","1974643.290"
"TARRAGONA","1795776.870","9127285.042"
"TORREDEMBARRA","33144.400","261792.561"
"VILANOVA I LA GELTRÚ","1669949.830","8504833.079"
